id;name;category;description;address;phone;email;website;latitude;longitude;tags;sourceName;sourceUrl;coordinatesVerified;coordinateSource;status
;;Sonstiges;;;;;;;;;;;false;;deaktiviert
adolf-faber-gebaeudereinigungs-gmbh-co-kg;Adolf Faber Gebäudereinigungs GmbH & Co.KG;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Gebäudereinigung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
agravis-technik-muensterland-ems-gmbh;AGRAVIS Technik Münsterland-Ems GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;Robert-Bosch-Straße 31, 59399 Olfen;https://www.agravis.de/de/agravis-regional/landtechnik/agravis-technik-muensterland-ems/standorte/olfen;;https://www.agravis.de/de/agravis-regional/landtechnik/agravis-technik-muensterland-ems/standorte/olfen;51.70026930772223;7.382433734462829;Agrartechnik|Technikhandel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;true;noch prüfen;aktiv
anhaenger-park-lauber-gmbh;Anhänger-Park Lauber GmbH;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Anhänger, Fahrzeugservice;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
autohaus-friedrich-frohn-gmbh-co-kg-volkswagenpartner-bochum;Autohaus Friedrich Frohn GmbH & Co. KG Volkswagenpartner Bochum;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Autohaus, Fahrzeuge;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
bonberg-gmbh;Bonberg GmbH;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;Oststraße 11;02595 3879790;;;51.707339;7.380923;Unternehmen, Dienstleistung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;true;geprüft;aktiv
caritasverband-fuer-den-kreis-coesfeld-e-v-wohnheim-f-menschen-mit-behinderungen;Caritasverband für den Kreis Coesfeld e.V. Wohnheim f. Menschen mit Behinderungen;Gesundheit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Soziales, Pflege;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
droege-kg;Droege KG;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
freizeitpark-gut-eversum;Freizeitpark Gut Eversum;Freizeit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Freizeitpark, Ausflugsziel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
froelich-paul;Frölich Paul;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Dienstleistung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
fuechtelner-muehle-inh-ernst-herbst;Füchtelner Mühle Inh. Ernst Herbst;Gastronomie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Mühle, Gastronomie;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
gebrueder-di-fina-gmbh;Gebrüder Di Fina GmbH;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
h-s-beschichtungssysteme-vertriebs-gmbh;H & S Beschichtungssysteme Vertriebs GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Beschichtungssysteme, Vertrieb;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
h-m-maschinen-gmbh;H.M. Maschinen GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Maschinenbau, Industrie;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
handy-oe;Handy Oe;Einzelhandel;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Mobilfunk, Einzelhandel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
hanke-service-schaedlingsbekaempfung-holz-u-bautenschutz-gmbh;Hanke - Service Schädlingsbekämpfung Holz- u. Bautenschutz GmbH;Handwerk;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Schädlingsbekämpfung, Bautenschutz;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
heinz-dieter-niehues-bedachungen;Heinz-Dieter Niehues Bedachungen;Handwerk;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Dachdecker, Bedachungen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
hoefler-klaus-versicherungsmakler;Höfler Klaus Versicherungsmakler;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Versicherung, Beratung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
huening-industriekeramik-gmbh;Hüning Industriekeramik GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Industriekeramik;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
jks-gabelstapler;JKS Gabelstapler;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Gabelstapler, Technik;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kernmaxx-jozef-misura;Kernmaxx Jozef Misura;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kinderheim-st-josef-awg-olfen;Kinderheim St Josef, AWG Olfen;Gesundheit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Soziales, Kinderhilfe;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kinesiologie-gabriele-huette;Kinesiologie Gabriele Hütte;Gesundheit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Kinesiologie, Gesundheit;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kiro-nathaus-gmbh;KIRO-NATHAUS GmbH;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kranken-seniorenpflege-haeuslicher-pflegedienst;Kranken- Seniorenpflege Häuslicher Pflegedienst;Gesundheit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Pflege, Häuslicher Pflegedienst;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
kunststoffe-gmbh;Kunststoffe GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Kunststoffe, Industrie;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
l-s-technischer-handel-gmbh-co-kg;L&S Technischer Handel GmbH & Co.KG;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Technischer Handel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
laarmann-moebelspedition-gmbh;Laarmann Möbelspedition GmbH;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Möbelspedition, Transport;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
lenzmeier-e-k-rolllaeden-markisen-fenster;Lenzmeier e.K. Rollläden-Markisen-Fenster;Handwerk;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Rollläden, Markisen, Fenster;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
luening-c;Luening C.;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
maier-freese-gabelstapler-vertriebs-gmbh;Maier + Freese Gabelstapler-Vertriebs GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Gabelstapler, Vertrieb;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
malerfachbetrieb-borgert-inhaber-v-schuldeis;Malerfachbetrieb Borgert Inhaber V. Schuldeis;Handwerk;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Malerfachbetrieb;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
mann-diamanttechnik-gmbh-co-kg;mann diamanttechnik GmbH & Co. KG;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Diamanttechnik, Industrie;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
marvin-luecke-sven-holtermann-walter-baljuk-internethandel;Marvin Lücke Sven Holtermann Walter Baljuk Internethandel;Einzelhandel;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Internethandel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
meissner-media;meissner.media;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Medien, Marketing;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
meisterdach-bau-gmbh;Meisterdach Bau GmbH;Handwerk;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Dachbau, Bauhandwerk;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
mkd-service;MKD Service;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Service;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
moldtech-gmbh;MoldTech GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Formenbau, Technik;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
moellers-reismann-gmbh-co-kg;MÖLLERS + REISMANN GMBH & CO. KG;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Industrie, Gewerbe;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
nkd-deutschland-gmbh;NKD Deutschland GmbH;Einzelhandel;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Textilhandel, Einzelhandel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
otto-andreas-nutz-und-verkaufsfahrzeuge;Otto Andreas Nutz- und Verkaufsfahrzeuge;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Nutzfahrzeuge, Verkaufsfahrzeuge;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
otto-barbara-kaesespezialitaeten;Otto Barbara Käsespezialitäten;Einzelhandel;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Käsespezialitäten, Lebensmittel;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
poll-ursula-wirtschaftsberatung-u-existenzgruendung;Poll Ursula Wirtschaftsberatung u. Existenzgründung;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Wirtschaftsberatung, Existenzgründung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
projekt-tv;Projekt.Tv;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Medien, TV;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
paedagogische-praxis;Pädagogische Praxis;Gesundheit;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Pädagogik, Beratung;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
raiffeisen-luedinghausen-eg;Raiffeisen Lüdinghausen eG;Einzelhandel;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Raiffeisen, Landwirtschaft;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
renate-rindke-partikulierbetrieb;Renate Rindke Partikulierbetrieb;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Schifffahrt, Transport;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
rindke-ralf-schiffs-u-boots-tankservice;Rindke Ralf Schiffs- u. Boots Tankservice;Mobilität;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Schiffsservice, Bootsservice;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
rommelmann-gmbh;Rommelmann GmbH;Sonstiges;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Unternehmen;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
s-b-industrieservice-gmbh;S&B Industrieservice GmbH;Industrie;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;Im Berg 10;02595 2077717;mail@sub-industrieservice.de;https://www.sub-industrieservice.de/;51.675014;7.406233;Industrieservice;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;true;noch prüfen;aktiv
schickentanz-brigitta-baubetreuung-u-immobilien-gmbh;Schickentanz Brigitta Baubetreuung u. Immobilien GmbH;Beratung;Importentwurf aus öffentlichem Branchenverzeichnis. Angaben, Kategorie, Adresse, Kontakt und Koordinaten bitte vor Aktivierung prüfen.;;;;;;;Baubetreuung, Immobilien;Gelbe Seiten Branchenbuch Olfen;https://www.gelbeseiten.de/branchenbuch/staedte/nordrhein-westfalen/coesfeld/olfen/unternehmen;false;noch prüfen;entwurf
bikertreff-nordkirchen-node-35497336;Bikertreff Nordkirchen;Gastronomie;Einrichtung: Restaurant, Tourismus: motorcycle meetingpoint. Bitte prüfen und Beschreibung ergänzen.;Berger 25, 59394 Nordkirchen;;;;51.7253536;7.5067789;Restaurant, motorcycle meetingpoint;OpenStreetMap / Overpass;https://www.openstreetmap.org/node/35497336;false;OpenStreetMap / Overpass Export;entwurf
shell-node-254325072;Shell;Mobilität;Einrichtung: Tankstelle. Bitte prüfen und Beschreibung ergänzen.;Seppenrader Straße 32, 59348 Lüdinghausen;+49 2591 70830;;;51.7660746;7.4256462;Tankstelle, Shell;OpenStreetMap / Overpass;https://www.openstreetmap.org/node/254325072;false;OpenStreetMap / Overpass Export;entwurf
